dataset,category,split,image_path,mask_path,label_available,is_anomaly,anomaly_type,evaluation_scope,filename,relative_after_split,has_mask
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/000_regular.png,,False,-1,unknown_private,official_server_only,000_regular.png,000_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/001_regular.png,,False,-1,unknown_private,official_server_only,001_regular.png,001_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/002_regular.png,,False,-1,unknown_private,official_server_only,002_regular.png,002_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/003_regular.png,,False,-1,unknown_private,official_server_only,003_regular.png,003_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/004_regular.png,,False,-1,unknown_private,official_server_only,004_regular.png,004_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/005_regular.png,,False,-1,unknown_private,official_server_only,005_regular.png,005_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/006_regular.png,,False,-1,unknown_private,official_server_only,006_regular.png,006_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/007_regular.png,,False,-1,unknown_private,official_server_only,007_regular.png,007_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/008_regular.png,,False,-1,unknown_private,official_server_only,008_regular.png,008_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/009_regular.png,,False,-1,unknown_private,official_server_only,009_regular.png,009_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/010_regular.png,,False,-1,unknown_private,official_server_only,010_regular.png,010_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/011_regular.png,,False,-1,unknown_private,official_server_only,011_regular.png,011_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/012_regular.png,,False,-1,unknown_private,official_server_only,012_regular.png,012_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/013_regular.png,,False,-1,unknown_private,official_server_only,013_regular.png,013_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/014_regular.png,,False,-1,unknown_private,official_server_only,014_regular.png,014_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/015_regular.png,,False,-1,unknown_private,official_server_only,015_regular.png,015_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/016_regular.png,,False,-1,unknown_private,official_server_only,016_regular.png,016_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/017_regular.png,,False,-1,unknown_private,official_server_only,017_regular.png,017_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/018_regular.png,,False,-1,unknown_private,official_server_only,018_regular.png,018_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/019_regular.png,,False,-1,unknown_private,official_server_only,019_regular.png,019_regular.png,False
MVTec AD 2,can,test_private,datasets/MVTec_AD_2/can/test_private/020_regular.png,,False,-1,unknown_private,official_server_only,020_regular.png,020_regular.png,False
