dataset,category,num_anomaly_images,covered_anomaly_images,coverage_ratio,num_candidate_rows,candidate_csv
VisA,candle,100,100,1.0,107,results/stage7_generalization/visa_patchcore/VisA/candle/candidate_regions.csv
VisA,capsules,100,100,1.0,158,results/stage7_generalization/visa_patchcore/VisA/capsules/candidate_regions.csv
VisA,cashew,100,100,1.0,132,results/stage7_generalization/visa_patchcore/VisA/cashew/candidate_regions.csv
VisA,chewinggum,100,100,1.0,112,results/stage7_generalization/visa_patchcore/VisA/chewinggum/candidate_regions.csv
VisA,fryum,100,100,1.0,172,results/stage7_generalization/visa_patchcore/VisA/fryum/candidate_regions.csv
VisA,macaroni1,100,100,1.0,113,results/stage7_generalization/visa_patchcore/VisA/macaroni1/candidate_regions.csv
VisA,macaroni2,100,100,1.0,143,results/stage7_generalization/visa_patchcore/VisA/macaroni2/candidate_regions.csv
VisA,pcb1,100,100,1.0,128,results/stage7_generalization/visa_patchcore/VisA/pcb1/candidate_regions.csv
VisA,pcb2,100,100,1.0,114,results/stage7_generalization/visa_patchcore/VisA/pcb2/candidate_regions.csv
VisA,pcb3,100,100,1.0,120,results/stage7_generalization/visa_patchcore/VisA/pcb3/candidate_regions.csv
VisA,pcb4,100,100,1.0,119,results/stage7_generalization/visa_patchcore/VisA/pcb4/candidate_regions.csv
VisA,pipe_fryum,100,100,1.0,114,results/stage7_generalization/visa_patchcore/VisA/pipe_fryum/candidate_regions.csv
VisA,MEAN,1200,1200,1.0,1532,
